time_s,roll_deg,pitch_deg
8.388659,79.8219,-21.6383
8.398657,79.3560,-21.4080
8.408656,79.2847,-20.4710
8.418654,79.6267,-19.0503
8.428652,80.3523,-17.4595
8.438651,81.4395,-15.9462
8.448649,82.5176,-14.8069
8.458648,83.5175,-13.9172
8.468646,84.7334,-12.9147
8.478644,86.3147,-11.6337
8.488643,88.1152,-10.0387
8.498641,89.9046,-8.2201
8.508640,91.5602,-6.3388
8.518638,92.9534,-4.5716
8.528636,93.9995,-3.0760
8.538635,94.6276,-1.9542
8.548633,94.9204,-1.2597
8.558632,95.2465,-0.7175
8.568630,96.0474,-0.0805
8.578628,97.7910,0.7936
8.588627,99.8880,1.7221
8.598625,101.7634,2.7204
8.608624,102.8107,3.8152
8.618622,102.7771,4.7385
8.628620,102.0392,5.2544
8.638619,101.1834,5.5037
8.648617,101.0807,5.6111
8.658615,101.7013,5.6883
8.668614,102.3674,5.8643
8.678612,102.9243,6.2414
8.688611,103.3468,6.9893
8.698609,103.7905,8.0916
8.708607,104.1779,9.3829
8.718606,104.4093,10.6989
8.728604,104.5736,11.9022
8.738603,104.7284,12.8476
8.748601,104.8815,13.4899
8.758599,105.0699,13.9551
8.768598,105.3375,14.3547
8.778596,105.6597,14.7177
8.788595,106.0066,15.0516
8.798593,106.4015,15.3241
8.808591,106.8047,15.4555
8.818590,107.1199,15.4349
8.828588,107.3482,15.2986
8.838587,107.4970,15.1381
8.848585,107.5222,15.0247
8.858583,107.3382,15.0368
8.868582,106.9323,15.2676
8.878580,106.3642,15.7008
8.888579,105.6761,16.2625
8.898577,105.0250,16.7919
8.908575,104.5621,17.1274
8.918574,104.2617,17.2238
8.928572,103.9316,17.1709
8.938571,103.3966,17.0667
8.948569,102.5994,16.8974
8.958567,101.6108,16.4365
8.968566,100.5115,15.5200
8.978564,99.2891,14.2138
8.988563,97.8894,12.7235
