"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.774425875E0,1.216767907E0,1.062984109E0,-1.152197048E-1
1.784423875E0,1.137059331E0,1.302534342E0,-2.102991492E-1
1.794421875E0,1.050464988E0,1.490586758E0,-2.358007878E-1
1.804420875E0,9.293367863E-1,1.618684411E0,-2.061726302E-1
1.814418875E0,8.140370846E-1,1.712246776E0,-1.797103882E-1
1.824417875E0,7.830451131E-1,1.741223454E0,-1.587212831E-1
1.834415875E0,8.424093723E-1,1.695643902E0,-1.062032133E-1
1.844413875E0,9.219864607E-1,1.513316512E0,-3.555028513E-2
1.854412875E0,1.023878455E0,1.260656118E0,6.859076768E-2
1.864410875E0,1.170828462E0,1.077755332E0,1.374454200E-1
1.874409875E0,1.283706307E0,8.655018806E-1,1.453576684E-1
1.884407875E0,1.360763669E0,6.083239913E-1,1.435283720E-1
1.894405875E0,1.384002686E0,3.921051621E-1,1.821247637E-1
1.904404875E0,1.342394829E0,4.042895436E-1,3.194998205E-1
1.914402875E0,1.202417731E0,6.873510480E-1,4.574614167E-1
1.924401875E0,8.549907207E-1,9.328286052E-1,5.751425624E-1
1.934399875E0,3.798989654E-1,1.069917440E0,6.586617231E-1
1.944397875E0,-7.424511760E-2,1.173362136E0,6.923081279E-1
1.954396875E0,-4.174898267E-1,1.208728909E0,6.527540684E-1
1.964394875E0,-5.471953154E-1,1.092206836E0,4.936202466E-1
1.974393875E0,-4.378772974E-1,9.186294079E-1,2.926088572E-1
1.984391875E0,-1.855025142E-1,7.210246325E-1,8.697678894E-2
1.994390875E0,-1.552226208E-2,5.497063994E-1,-8.537607640E-2
2.004388875E0,-1.964041218E-2,3.742176592E-1,-1.928382218E-1
2.014386875E0,-2.844712734E-1,1.584467441E-1,-2.345129699E-1
2.024385875E0,-7.965647578E-1,-5.570696294E-2,-2.161389440E-1
2.034383875E0,-1.300707459E0,-3.329550922E-1,-3.147230446E-1
2.044381875E0,-1.451612473E0,-8.617748618E-1,-5.784912109E-1
2.054380875E0,-1.307509065E0,-1.520308375E0,-8.630177379E-1
2.064378875E0,-1.165089607E0,-2.016463280E0,-9.845708609E-1
2.074377875E0,-1.277806878E0,-2.193331242E0,-1.051328778E0
2.084375875E0,-1.680779696E0,-2.453193903E0,-9.455820918E-1
2.094374875E0,-2.256326437E0,-2.450815916E0,-8.530694246E-1
2.104372875E0,-2.745941639E0,-1.968625546E0,-8.481926322E-1
2.114370875E0,-3.034408569E0,-1.264183998E0,-8.799684048E-1
2.124369875E0,-3.171610832E0,-7.225887179E-1,-1.000595450E0
2.134367875E0,-3.227204800E0,-4.198155403E-1,-1.104282975E0
2.144365875E0,-3.138786793E0,-3.222634196E-1,-1.055329204E0
2.154364875E0,-2.903236866E0,-3.564264476E-1,-8.544195890E-1
2.164362875E0,-2.580663443E0,-4.922806919E-1,-5.156353116E-1
2.174361875E0,-2.187798500E0,-7.785782814E-1,-9.022513777E-2
2.184359875E0,-1.852241874E0,-1.055890918E0,2.462849319E-1
2.194358875E0,-1.708244443E0,-1.195028782E0,3.796419203E-1
2.204356875E0,-1.690609336E0,-1.214928746E0,4.074714482E-1
2.214354875E0,-1.661332846E0,-1.131425858E0,3.871544600E-1
2.224353875E0,-1.519173145E0,-1.156056523E0,2.984962463E-1
2.234351875E0,-1.428335905E0,-8.532176018E-1,2.860561013E-1
2.244350875E0,-1.344749808E0,-3.048925698E-1,3.437643051E-1
2.254348875E0,-1.243047953E0,6.711642444E-2,2.517962754E-1
2.264346875E0,-1.092256546E0,-4.823293164E-2,9.391395748E-2
2.274345875E0,-5.708487630E-1,-1.574027061E0,-2.391353697E-1
2.284343875E0,-7.061506510E-1,-3.154617786E0,-6.021292806E-1
2.294342875E0,-1.702025056E0,-3.582159281E0,-6.625009775E-1
2.304340417E0,-2.601074696E0,-3.853977203E0,-4.002845883E-1
2.314338417E0,-2.926158905E0,-4.050768852E0,-2.880781591E-1
2.324337417E0,-2.741358280E0,-3.906862736E0,-3.927548230E-1
2.334335417E0,-2.218272448E0,-3.153473854E0,-4.720701575E-1
2.344334417E0,-1.421751618E0,-2.477244854E0,-5.550894141E-1
2.354332417E0,-7.736598849E-1,-2.130922794E0,-5.781955123E-1
2.364330417E0,-4.051249027E-1,-1.910446763E0,-7.175564170E-1
2.374329417E0,-1.400264055E-1,-1.687028289E0,-7.991939783E-1
2.384327417E0,8.490196615E-2,-1.455718517E0,-8.406425714E-1
2.394326417E0,3.127902448E-1,-1.077258825E0,-8.735741973E-1
