"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.958987833E0,-7.782316589E-1,1.095272369E1,2.241289215E0,1.120674699E1
1.968985833E0,-1.407972107E0,1.061367874E1,3.024759979E0,1.112572401E1
1.978983833E0,-2.180365906E0,1.023751099E1,3.507506104E0,1.103916780E1
1.988981833E0,-2.827919312E0,1.021505768E1,3.921096039E0,1.130130635E1
1.998979833E0,-3.114423523E0,1.052940399E1,4.284689941E0,1.178671075E1
2.008978833E0,-3.064577179E0,1.088416626E1,4.427942047E0,1.214345005E1
2.018976833E0,-2.473606110E0,1.116498230E1,4.136647797E0,1.216089684E1
2.028974833E0,-2.257006531E0,1.124326950E1,3.851191406E0,1.209697742E1
2.038972833E0,-2.225721588E0,1.151959488E1,3.393443298E0,1.221353185E1
2.048970833E0,-2.085163879E0,1.174532547E1,2.610571289E0,1.221129237E1
2.058968833E0,-2.557282104E0,1.174547516E1,1.347048798E0,1.209588438E1
2.068966833E0,-3.491339722E0,1.215247879E1,-7.349716187E-1,1.266540079E1
2.078964833E0,-3.964954834E0,1.354368576E1,-3.226690063E0,1.447631927E1
2.088963833E0,-3.365601196E0,1.317410431E1,-5.041516113E0,1.450176474E1
2.098961833E0,-1.455273743E0,1.213526459E1,-4.440815277E0,1.300397280E1
2.108959833E0,1.027014313E0,1.236069580E1,-1.840722198E0,1.253913144E1
2.118957833E0,1.928589478E0,1.215113159E1,1.413061523E-1,1.230404095E1
2.128955833E0,1.287322998E0,1.107277405E1,6.167175293E-1,1.116440174E1
2.138953833E0,6.848258972E-1,1.016910324E1,7.861651611E-1,1.022241179E1
2.148951833E0,9.119036865E-1,9.622589722E0,8.545729065E-1,9.703406419E0
2.158950833E0,1.799857178E0,9.456435242E0,9.056167603E-1,9.668701829E0
2.168948833E0,2.066303101E0,1.050350784E1,1.167122955E0,1.076826177E1
2.178946833E0,1.897903290E0,1.280542099E1,1.035097504E0,1.298661890E1
2.188944833E0,2.140997772E0,1.515822830E1,4.055067444E-1,1.531405212E1
2.198942833E0,2.668800201E0,1.714953735E1,-7.387138367E-1,1.737166728E1
2.208940833E0,3.154540100E0,1.840916794E1,-1.780247955E0,1.876213928E1
2.218938833E0,3.456761627E0,1.843251938E1,-2.073637848E0,1.886814632E1
2.228936833E0,3.818708954E0,1.697200653E1,-2.273771667E0,1.754427489E1
2.238935833E0,4.206253052E0,1.491258911E1,-2.244582367E0,1.565618181E1
2.248933833E0,4.969366150E0,1.289807831E1,-1.964664459E0,1.396119373E1
2.258931833E0,5.525908813E0,1.091994186E1,-1.669328613E0,1.235181997E1
2.268929833E0,6.700366516E0,9.785750427E0,-1.016685791E0,1.190333873E1
2.278927833E0,7.149282990E0,8.975186005E0,-4.484674072E-1,1.148335030E1
2.288925833E0,7.138056335E0,8.384065247E0,-8.521778870E-1,1.104403031E1
2.298923833E0,6.661447449E0,7.784262543E0,-1.159937897E0,1.031092049E1
2.308922833E0,5.717360687E0,6.988966370E0,-8.229885864E-1,9.067037794E0
2.318920833E0,4.633464661E0,6.451434174E0,2.883004761E-1,7.948151661E0
2.328918833E0,3.163671112E0,6.455475769E0,2.188299408E0,7.514694712E0
2.338916833E0,1.345102844E0,6.419101410E0,4.203109589E0,7.789755759E0
2.348914833E0,4.290078735E-1,7.365732880E0,4.724774780E0,8.761367778E0
2.358912833E0,-5.050497437E-1,8.331225128E0,4.793332214E0,9.624989408E0
2.368910833E0,-1.271755371E0,8.976533203E0,4.100572815E0,9.950387303E0
2.378908833E0,-1.358275452E0,8.966204681E0,1.986519012E0,9.283533615E0
2.388907833E0,-1.561702423E0,7.939938812E0,-2.151026917E-1,8.094925075E0
2.398905833E0,-1.513652344E0,6.568640442E0,-1.673819275E0,6.945491461E0
2.408903833E0,-1.024020538E0,5.417234802E0,-9.054670715E-1,5.587031554E0
2.418901833E0,-1.088237000E-1,4.706213379E0,-1.986369324E-1,4.711660386E0
2.428899833E0,5.240602112E-1,4.380341034E0,-2.544708252E-1,4.418911866E0
2.438897833E0,5.451663208E-1,4.216282196E0,-8.403524780E-1,4.333639828E0
2.448895833E0,2.263293457E-1,3.684438171E0,-1.576371918E0,4.013883162E0
2.458894833E0,-1.246907043E-1,3.053051147E0,-1.064586182E0,3.235739918E0
2.468892833E0,1.697470093E-1,2.651735687E0,-3.466790771E-1,2.679683299E0
2.478890833E0,6.300398254E-1,2.509531403E0,1.987866211E-1,2.595036447E0
2.488888833E0,9.377998352E-1,2.375110931E0,8.146060181E-1,2.680336440E0
2.498886833E0,1.091530151E0,2.257455597E0,1.577719116E0,2.962556574E0
2.508884833E0,1.181193695E0,2.368824005E0,1.907633057E0,3.262761038E0
2.518882833E0,1.465003510E0,2.687211914E0,2.091001740E0,3.706700882E0
2.528881833E0,1.734443207E0,3.121458893E0,2.466271362E0,4.339849455E0
2.538879833E0,2.173929291E0,3.550017700E0,2.958597565E0,5.107043546E0
2.548877833E0,2.505489807E0,4.143683167E0,3.694317627E0,6.090613441E0
2.558875833E0,2.712958374E0,5.485343170E0,4.711153107E0,7.722959046E0
2.568873833E0,2.933449860E0,7.485483856E0,5.636079712E0,9.818502491E0
2.578871833E0,2.927162933E0,1.008198441E1,6.267317047E0,1.222677207E1
2.588869833E0,2.884202271E0,1.327499451E1,6.287525024E0,1.496920415E1
2.598867833E0,3.163521423E0,1.676528641E1,6.711892548E0,1.833390841E1
2.608866833E0,3.645519104E0,2.031485504E1,8.170758820E0,2.219784775E1
2.618864833E0,3.685036926E0,2.108275818E1,1.123743164E1,2.417316817E1
2.628862833E0,3.778891754E0,1.725970825E1,1.404933426E1,2.257346551E1
2.638860833E0,4.968767395E0,1.239242981E1,1.454345673E1,1.974267205E1
2.648858833E0,5.948629761E0,8.541388092E0,1.229468307E1,1.610902661E1
2.658856833E0,6.600075073E0,6.586902466E0,8.092920685E0,1.234680689E1
2.668854833E0,7.340136108E0,7.133266296E0,4.456981659E0,1.116359134E1
2.678853833E0,9.065897369E0,1.146316223E1,2.451751556E0,1.481909812E1
2.688851833E0,8.368347931E0,1.657727737E1,-8.376580811E-1,1.858862672E1
2.698849833E0,6.184389496E0,1.670511154E1,-5.238656158E0,1.856747003E1
2.708847833E0,6.348298645E0,1.471155716E1,-5.662724304E0,1.699403590E1
2.718845833E0,7.284002838E0,1.396431107E1,-3.797303467E0,1.620117880E1
2.728843833E0,6.955136719E0,1.159129578E1,-2.589614868E0,1.376365394E1
2.738841833E0,4.246669006E0,6.950346680E0,-1.681902466E0,8.316869154E0
2.748839833E0,2.210153961E0,3.791615295E0,-3.658392334E-1,4.403971551E0
2.758838833E0,1.441502380E0,2.367476807E0,4.555027771E-1,2.808978163E0
2.768836833E0,9.687854004E-1,2.350711670E0,-3.858975220E-1,2.571635162E0
2.778834833E0,5.147795105E-1,3.765270081E0,-2.687361603E0,4.654478393E0
2.788832833E0,-1.886077881E-2,5.896987152E0,-4.427792358E0,7.374290364E0
2.798830833E0,-9.708810425E-1,8.201594696E0,-4.657863922E0,9.481796342E0
2.808828833E0,-1.600022736E0,1.066726730E1,-4.659061432E0,1.174978799E1
2.818826458E0,-2.030826874E0,1.244541962E1,-4.089795227E0,1.325666445E1
2.828825458E0,-2.297572174E0,1.427491516E1,-2.625240784E0,1.469503079E1
2.838823458E0,-2.827919312E0,1.635933060E1,-1.019679565E0,1.663323696E1
2.848821458E0,-3.309617615E0,1.766416718E1,4.571493530E-1,1.797735677E1
2.858819458E0,-3.305276642E0,1.715821930E1,2.575843506E0,1.766251151E1
2.868817458E0,-2.959346008E0,1.501632339E1,5.025499420E0,1.610910741E1
2.878815458E0,-2.589465179E0,1.198303116E1,6.097420349E0,1.369222044E1
2.888813458E0,-1.353186035E0,9.217681732E0,5.766159210E0,1.095652139E1
2.898811458E0,6.623725891E-1,7.740254059E0,4.190685425E0,8.826783937E0
2.908810458E0,2.280657349E0,7.079378357E0,2.181264038E0,7.750929536E0
2.918808458E0,2.874173126E0,6.768325195E0,4.908293152E-1,7.369668278E0
2.928806458E0,2.395019531E0,6.817273407E0,-1.942959595E-1,7.228352937E0
2.938804458E0,1.552272034E0,7.026538239E0,-2.766247559E-1,7.201271370E0
2.948802458E0,1.555265808E0,7.443421326E0,-3.185375977E-1,7.610836943E0
2.958800458E0,1.730102234E0,7.538623352E0,-6.083349609E-1,7.758490008E0
2.968798458E0,1.905088348E0,7.292235718E0,-1.008303223E0,7.604126430E0
2.978797458E0,1.895957336E0,7.102131042E0,-1.293759613E0,7.463828341E0
2.988795458E0,1.712438965E0,6.897356873E0,-1.406026154E0,7.244507477E0
2.998793458E0,1.477427673E0,6.952142944E0,-1.758842468E0,7.321790142E0
3.008791458E0,1.356479187E0,7.542365570E0,-2.149530029E0,7.959132712E0
3.018789458E0,1.032253418E0,7.928861847E0,-1.896705780E0,8.217657216E0
3.028787458E0,8.264314270E-1,8.438102875E0,-5.318440247E-1,8.495141382E0
3.038785458E0,4.430786133E-1,8.611891479E0,1.146914978E0,8.699218786E0
3.048783458E0,-1.836680603E-1,8.397986298E0,2.142943726E0,8.669031989E0
3.058782458E0,-6.976991272E-1,8.347092133E0,2.395019531E0,8.711879803E0
3.068780458E0,-1.041534119E0,8.455466766E0,1.989512787E0,8.748592612E0
3.078778458E0,-1.240320740E0,8.471333771E0,1.307530975E0,8.660919619E0
3.088776458E0,-1.094074860E0,8.563691711E0,5.378315735E-1,8.650033429E0
3.098774458E0,-9.671388245E-1,9.033265228E0,2.303709412E-1,9.087811010E0
3.108772458E0,-1.187630310E0,9.434580688E0,6.221063232E-1,9.529364869E0
3.118770458E0,-1.552571411E0,9.613159332E0,1.397044830E0,9.837430792E0
3.128768458E0,-1.607207794E0,9.717791748E0,1.875599670E0,1.002678750E1
3.138767458E0,-1.260379028E0,9.820927277E0,2.143991547E0,1.013093617E1
3.148765458E0,-3.775149536E-1,1.023346939E1,1.894909515E0,1.041427364E1
3.158763458E0,2.853067017E-1,1.065993256E1,1.754052429E0,1.080704686E1
3.168761458E0,2.423460388E-1,1.071681427E1,2.016606445E0,1.090759099E1
3.178759458E0,-6.334826660E-1,1.071786209E1,2.016007690E0,1.092420043E1
3.188757458E0,-2.121538239E0,1.077654007E1,1.927990723E0,1.115131780E1
3.198755458E0,-3.833079071E0,1.071337143E1,2.216740265E0,1.159235783E1
3.208754458E0,-4.572092285E0,1.056098831E1,2.491868134E0,1.177488466E1
3.218752458E0,-3.667074280E0,1.084554657E1,2.470163269E0,1.171217404E1
3.228750458E0,-2.027833099E0,1.179726746E1,2.531685333E0,1.223507487E1
3.238748458E0,-1.039438477E0,1.232222580E1,3.163820801E0,1.276430347E1
3.248746458E0,-7.596702576E-1,1.242551102E1,3.472628632E0,1.292399213E1
3.258744458E0,-1.103804626E0,1.267399429E1,2.656675415E0,1.299640105E1
3.268742458E0,-1.551074524E0,1.355027206E1,1.634151764E0,1.373630799E1
3.278740458E0,-1.662742310E0,1.577898743E1,9.624984741E-1,1.589552011E1
3.288739458E0,-1.275497589E0,1.778137344E1,4.469705200E-1,1.783266436E1
3.298737458E0,-9.782157898E-1,1.775637543E1,9.834548950E-2,1.778357237E1
3.308735458E0,-5.852828979E-1,1.564142349E1,3.420387268E-1,1.565610665E1
3.318733458E0,-1.440005493E-1,1.307441162E1,-2.544708252E-2,1.307522937E1
