"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.558524125E0,1.008901978E0,-7.837701416E-1,9.762698364E0,9.845936125E0
1.568522125E0,1.004561005E0,-7.970924377E-1,9.749675446E0,9.833649905E0
1.578520125E0,1.000369720E0,-8.002359009E-1,9.736652527E0,9.820566150E0
1.588518125E0,9.891430664E-1,-7.860154724E-1,9.737850037E0,9.819467789E0
1.598517125E0,9.843530273E-1,-7.795788574E-1,9.733209686E0,9.813871044E0
1.608515125E0,9.680369568E-1,-7.699987793E-1,9.731712799E0,9.810006507E0
1.618513125E0,9.566606140E-1,-7.631130981E-1,9.748178558E0,9.824689631E0
1.628511125E0,9.497749329E-1,-7.518864441E-1,9.763297119E0,9.838159192E0
1.638509125E0,9.406439209E-1,-7.614665222E-1,9.770033112E0,9.844703614E0
1.648507125E0,9.412426758E-1,-7.686515808E-1,9.775122528E0,9.850369712E0
1.658505917E0,9.461824036E-1,-7.740403748E-1,9.776469727E0,9.852601685E0
1.668503917E0,9.535171509E-1,-7.698490906E-1,9.776320038E0,9.852831880E0
1.678501917E0,9.466314697E-1,-7.834707642E-1,9.757908325E0,9.834973943E0
1.688500917E0,9.517208862E-1,-7.861651611E-1,9.736203461E0,9.814147244E0
1.698498917E0,9.488768005E-1,-7.894583130E-1,9.744136963E0,9.822006758E0
1.708496917E0,9.439370728E-1,-7.955955505E-1,9.746382294E0,9.824253523E0
1.718494917E0,9.538165283E-1,-7.866142273E-1,9.741891632E0,9.820029556E0
1.728492917E0,9.672885132E-1,-7.807763672E-1,9.743388519E0,9.822366244E0
1.738490917E0,9.698332214E-1,-7.807763672E-1,9.752369843E0,9.831526115E0
1.748488917E0,9.816586304E-1,-7.777825928E-1,9.761500854E0,9.841519108E0
1.758486917E0,9.873468018E-1,-7.758366394E-1,9.758207703E0,9.838668292E0
1.768484917E0,9.952803040E-1,-7.875123596E-1,9.751621399E0,9.833863865E0
1.778482917E0,9.928852844E-1,-7.943980408E-1,9.753118286E0,9.835659904E0
1.788481917E0,9.801617432E-1,-7.896080017E-1,9.761650543E0,9.842460016E0
1.798479917E0,9.798623657E-1,-7.810757446E-1,9.747579803E0,9.827793323E0
1.808477917E0,9.687854004E-1,-7.696994019E-1,9.749226379E0,9.827430861E0
1.818475917E0,9.621990967E-1,-7.551795959E-1,9.732461243E0,9.809022641E0
1.828473917E0,9.511221313E-1,-7.421566772E-1,9.755064240E0,9.829379846E0
1.838471917E0,9.457333374E-1,-7.253915405E-1,9.765243073E0,9.837711965E0
1.848469917E0,9.410929871E-1,-7.291337585E-1,9.773925018E0,9.846161806E0
1.858467917E0,9.342073059E-1,-7.369175720E-1,9.792037354E0,9.864065406E0
1.868465917E0,9.232800293E-1,-7.241940308E-1,9.785600739E0,9.855703162E0
1.878464917E0,9.093589783E-1,-7.180567932E-1,9.778415680E0,9.846824489E0
1.888462917E0,9.039701843E-1,-7.249424744E-1,9.774224396E0,9.842670686E0
1.898460917E0,8.960366821E-1,-7.256909180E-1,9.767638092E0,9.835459468E0
1.908458917E0,8.872050476E-1,-7.310797119E-1,9.766889648E0,9.834314605E0
1.918456917E0,8.869056702E-1,-7.415579224E-1,9.760752411E0,9.828977436E0
1.928454917E0,8.830137634E-1,-7.484436035E-1,9.766889648E0,9.835243492E0
1.938452917E0,8.804690552E-1,-7.472460938E-1,9.767189026E0,9.835221601E0
1.948450917E0,8.837622070E-1,-7.544311523E-1,9.759704590E0,9.828633460E0
1.958448917E0,8.797206116E-1,-7.605683899E-1,9.751322021E0,9.820420245E0
1.968447917E0,8.864566040E-1,-7.643106079E-1,9.732760620E0,9.802887600E0
1.978445917E0,9.038204956E-1,-7.744894409E-1,9.733509064E0,9.806014689E0
1.988443917E0,9.066645813E-1,-7.863148499E-1,9.734107819E0,9.807812535E0
1.998441917E0,9.238787842E-1,-7.812254333E-1,9.740095367E0,9.814954047E0
2.008439917E0,9.343569946E-1,-7.867639160E-1,9.745484161E0,9.821735182E0
2.018437917E0,9.410929871E-1,-7.927514648E-1,9.746981049E0,9.824344785E0
2.028435917E0,9.372010803E-1,-7.932005310E-1,9.739346924E0,9.816434763E0
2.038433917E0,9.449848938E-1,-8.147557068E-1,9.743987274E0,9.823548814E0
2.048431917E0,9.418414307E-1,-8.181985474E-1,9.753717041E0,9.833184136E0
2.058429917E0,9.533674622E-1,-8.077203369E-1,9.742939453E0,9.822738460E0
2.068428917E0,9.364526367E-1,-8.033793640E-1,9.746531982E0,9.824319194E0
2.078426917E0,9.377998352E-1,-7.985893250E-1,9.739646301E0,9.817225856E0
2.088424917E0,9.237290955E-1,-7.720944214E-1,9.753717041E0,9.827736329E0
2.098422917E0,9.234297180E-1,-7.694000244E-1,9.758956146E0,9.832696675E0
2.108420917E0,9.154962158E-1,-7.673043823E-1,9.772428131E0,9.845163326E0
