"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.601853875E0,-1.868863678E0,9.257648621E0,2.741099854E0,9.834141439E0
1.611851875E0,-1.878144379E0,9.231752472E0,2.724484406E0,9.806910588E0
1.621849875E0,-1.866917725E0,9.226663055E0,2.683320007E0,9.788610687E0
1.631847875E0,-1.831591187E0,9.228309631E0,2.688559113E0,9.784925908E0
1.641846875E0,-1.802102509E0,9.252259827E0,2.689008179E0,9.802175796E0
1.651844875E0,-1.797761536E0,9.265731812E0,2.706821136E0,9.818992474E0
1.661842875E0,-1.824705505E0,9.273964691E0,2.681823120E0,9.824873868E0
1.671840875E0,-1.827549591E0,9.281149750E0,2.650538177E0,9.823697411E0
1.681838875E0,-1.811682587E0,9.286987610E0,2.642454987E0,9.824097975E0
1.691837875E0,-1.803898773E0,9.290580139E0,2.668201447E0,9.833017292E0
1.701835875E0,-1.847607880E0,9.286688232E0,2.680326233E0,9.840751085E0
1.711833875E0,-1.892664185E0,9.272018738E0,2.659519501E0,9.829829763E0
1.721831875E0,-1.932780762E0,9.260193329E0,2.657573547E0,9.825961486E0
1.731830875E0,-1.980232086E0,9.232650604E0,2.636617126E0,9.803820998E0
1.741828875E0,-1.996847534E0,9.206155701E0,2.624941406E0,9.779111424E0
1.751826875E0,-1.987566833E0,9.181307373E0,2.646197205E0,9.759568978E0
1.761824875E0,-2.007625122E0,9.092991028E0,2.658471680E0,9.684034084E0
1.771822875E0,-2.006277924E0,9.047036591E0,2.691403198E0,9.649749911E0
1.781821875E0,-1.936223602E0,9.090596008E0,2.773731995E0,9.699561165E0
1.791819875E0,-1.862127686E0,9.160201263E0,2.859503632E0,9.775150522E0
1.801817875E0,-1.887275391E0,9.256900177E0,2.942730560E0,9.895032715E0
1.811815875E0,-1.951791229E0,9.316027222E0,3.016227722E0,9.984762484E0
1.821813875E0,-2.044747925E0,9.263187103E0,3.036585388E0,9.960345386E0
1.831812875E0,-2.087109833E0,9.213041382E0,2.982697449E0,9.906192156E0
