"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.010653542E0,6.380481720E0,-2.913391571E0,-1.517993317E0,7.176538242E0
3.020651542E0,7.523804169E0,-2.086062012E0,-1.604962463E0,7.970896336E0
3.030649542E0,8.139922943E0,-3.196452942E0,-1.683399353E0,8.905587589E0
3.040647542E0,7.276967468E0,-3.337609406E0,-1.688189392E0,8.181923704E0
3.050645542E0,7.398514709E0,-2.504292297E0,-1.733395386E0,8.000884912E0
3.060643542E0,5.381309509E0,-3.031795349E0,-1.969304810E0,6.482934251E0
3.070641542E0,2.264041901E0,-3.458557892E0,-3.173550568E0,5.211423186E0
3.080639542E0,4.188290405E-1,-3.790268097E0,-4.755460968E0,6.095568803E0
3.090637542E0,-1.077758789E0,-4.941074982E0,-6.290069733E0,8.070982792E0
3.100635542E0,-2.605481873E0,-5.219346313E0,-7.686515808E0,9.649488950E0
3.110633542E0,-2.783312073E0,-3.284469910E0,-7.680827637E0,8.805094086E0
3.120631500E0,-2.051633606E0,2.013313293E-1,-5.220244446E0,5.612547268E0
3.130628500E0,-1.874102783E-1,3.441343689E0,-3.841012573E0,5.160556810E0
3.140626500E0,1.027762756E0,5.867947540E0,-2.182611237E0,6.344517037E0
3.150624500E0,2.281256104E0,8.137527924E0,2.048340454E0,8.695929435E0
3.160622500E0,4.607568512E0,1.101050354E1,9.198970642E0,1.506923809E1
3.170620500E0,8.204438782E0,1.872126892E1,2.050765411E1,2.895449193E1
3.180618500E0,2.315983887E0,2.617427032E1,3.063005447E1,4.035661588E1
3.190616500E0,-4.549638977E0,1.914039734E1,1.507290573E1,2.478399710E1
3.200614500E0,-2.502645721E0,1.151151169E1,-8.049810333E0,1.426806165E1
3.210612500E0,-2.860401764E0,5.383704529E0,-2.007250900E1,2.097788813E1
3.220610500E0,-2.376458130E0,1.635349274E0,-2.555351120E1,2.571582888E1
3.230608500E0,1.245110779E0,2.834206238E0,-1.879147293E1,1.904474943E1
3.240606500E0,6.989415436E0,1.236413864E1,-1.026295807E1,1.752290389E1
3.250604500E0,1.514370850E1,2.380125504E1,-6.597979431E0,2.897179630E1
3.260602500E0,1.780457520E1,2.646122360E1,-4.169429626E0,3.216494048E1
3.270600500E0,1.077204941E1,1.539353897E1,-4.676275635E-1,1.879406199E1
3.280598500E0,2.844534760E0,7.775131531E0,1.398392029E0,8.396400930E0
